GENES,IMPORTANCE
DNALI1,0.00812349031745797
DEGS2,0.007913174122633385
GABRP,0.007362428056652612
GATA3,0.00730491888328762
MYB,0.007086442157113888
KRT16,0.00658194682062343
NCAPH,0.0061925565800926615
FOXA1,0.005742171149437807
TTC6,0.005691158685984647
AGR3,0.005476142033576179
KIF4A,0.00517807338341157
SPDEF,0.005152291417348779
PLK1,0.005149113827424206
KIF15,0.005009130631693107
AKR7A3,0.004877604956332045
BIRC5,0.004846604192792074
SLC44A4,0.0048229341016809675
NOSTRIN,0.004327017697350926
ASPM,0.004055824957063407
GREB1,0.004026892397381005
SLC7A8,0.004026330933817212
TFF1,0.0040066778148975975
ARHGEF38,0.0037476765870990813
SLC22A5,0.0036924524148517195
FOXM1,0.0036415712313554154
RAB17,0.0036013803808069133
FAM72A,0.003598181466629203
CENPA,0.0033729421439366576
MKI67,0.0032958386384865567
DNAJC12,0.00319142532297316
PRR15,0.0030806968157657977
OTX1,0.003079082423981032
SHCBP1,0.0030394996719405763
ZWINT,0.0030333348192926424
PPP1R14C,0.0030318849874895097
SFRP1,0.0030317643410230377
CDK1,0.003028252996912982
HJURP,0.0030023869658515907
MRAS,0.0029874825206987073
CENPN,0.002944895338850573
WFS1,0.0028862324394752664
PRKX,0.0028859499276097152
TYMS,0.0028189497165471335
AMD1,0.002691507660606817
RRM2,0.002647890705338886
CMBL,0.0026202376885566146
IFRD1,0.0025590476605649613
ETV6,0.0025485586148291488
GFRA1,0.002526052447915556
CXCL16,0.0025006753264217255
PLK4,0.0024965893215089757
FMNL2,0.002449400117687641
INPP5J,0.002401380733089016
ACTL6A,0.0023785386150872614
KPNA2,0.0023156438012407175
RHOB,0.0022775675947272023
OIP5,0.0022728387895211504
ESR1,0.0022678804120831036
CA12,0.002267875130303658
GPD1L,0.0022550191405151373
TTC12,0.0022381254428758064
COL22A1,0.0022349313537959143
FAM171A1,0.002225136495347367
GPM6B,0.0022166616297913566
FOXC1,0.002206886246949544
RPIA,0.0021937064384516926
MICALL1,0.0021614440668323524
HMMR,0.0021579427125060736
